Id,SessionId,Timestamp,Latitude,Longitude,Speed,Level,Qual,CellID,NetworkTech,NetworkMode,LTERSSI,CGI,SERVINGTIME,BAND,Outage,RTT_ms,drive_id,Destination,common_s_m,common_bucket_index,common_bucket_center_m,bucket_name,is_handover
ID-1759931482938-660,session-633bed05,2025-10-08 15:51:22.938,48.2102733,17.0370683,126.14668121337893,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,6981.0,1.0,False,43,1,Lozorno,32.26324873413655,0,250.0,a1,0
ID-1759931483940-661,session-633bed05,2025-10-08 15:51:23.940,48.2105667,17.0368967,125.5111083984375,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,7983.0,1.0,False,61,1,Lozorno,67.2534786943637,0,250.0,a1,0
ID-1759931484942-662,session-633bed05,2025-10-08 15:51:24.942,48.2108517,17.0367183,125.45921173095704,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,8985.0,1.0,False,59,1,Lozorno,101.59256489234042,0,250.0,a1,0
ID-1759931485944-663,session-633bed05,2025-10-08 15:51:25.945,48.2111417,17.0365367,125.40547485351564,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,9988.0,1.0,False,54,1,Lozorno,136.5630729756818,0,250.0,a1,0
ID-1759931486946-664,session-633bed05,2025-10-08 15:51:26.947,48.2114217,17.03635,125.5259262084961,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,10990.0,1.0,False,43,1,Lozorno,170.61151122876169,0,250.0,a1,0
ID-1759931487948-665,session-633bed05,2025-10-08 15:51:27.949,48.2117083,17.036165,125.95211334228516,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,11991.0,1.0,False,52,1,Lozorno,205.40139928296668,0,250.0,a1,0
ID-1759931488950-666,session-633bed05,2025-10-08 15:51:28.951,48.2119983,17.0359733,126.00955810546876,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,12993.0,1.0,False,51,1,Lozorno,240.60227087218448,0,250.0,a1,0
ID-1759931489953-667,session-633bed05,2025-10-08 15:51:29.954,48.2122817,17.0357867,126.10406799316408,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,13996.0,1.0,False,46,1,Lozorno,274.9739879824016,0,250.0,a1,0
ID-1759931490959-668,session-633bed05,2025-10-08 15:51:30.960,48.2125717,17.0356067,124.39374389648438,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,15002.0,1.0,False,57,1,Lozorno,309.959443286122,0,250.0,a1,0
ID-1759931491965-669,session-633bed05,2025-10-08 15:51:31.966,48.2128533,17.0354183,122.58892364501952,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,16008.0,1.0,False,58,1,Lozorno,344.2276080839854,0,250.0,a1,0
ID-1759931492971-670,session-633bed05,2025-10-08 15:51:32.972,48.2131267,17.035225,122.47959594726562,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,17014.0,1.0,False,61,1,Lozorno,377.8036600562732,0,250.0,a1,0
ID-1759931493976-671,session-633bed05,2025-10-08 15:51:33.977,48.213405,17.03504,122.92616271972656,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,18020.0,1.0,False,54,1,Lozorno,411.6642270219021,0,250.0,a1,0
ID-1759931494978-672,session-633bed05,2025-10-08 15:51:34.978,48.2136817,17.0348433,123.42833404541015,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,19021.0,1.0,False,48,1,Lozorno,445.7286194807556,0,250.0,a1,0
ID-1759931495980-673,session-633bed05,2025-10-08 15:51:35.981,48.2139567,17.0346433,122.9428482055664,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,20024.0,1.0,False,66,1,Lozorno,479.7125145761171,0,250.0,a1,0
ID-1759931496986-674,session-633bed05,2025-10-08 15:51:36.988,48.2142383,17.03445,122.98175354003908,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,21030.0,1.0,False,55,1,Lozorno,514.1862674255295,1,750.0,a2,0
